gene_name,log2FC,pvalue,padj
TP53,2.45,1.2e-12,3.4e-11
MYC,-1.89,4.5e-10,8.1e-09
BRCA1,1.67,2.3e-08,3.2e-07
EGFR,-2.11,5.6e-09,6.7e-08
KRAS,1.23,1.1e-05,8.9e-05
PIK3CA,0.98,3.4e-04,0.0021
AKT1,-0.87,6.7e-04,0.0034
PTEN,1.56,8.9e-06,5.6e-05
CDKN2A,-1.34,2.1e-07,1.8e-06
RB1,0.76,0.012,0.045
VHL,-1.98,9.8e-11,2.1e-09
MET,1.11,0.008,0.031
ERBB2,0.65,0.034,0.089
BRAF,-0.54,0.067,0.12
NRAS,0.43,0.15,0.28
JUN,1.89,3.2e-08,4.5e-07
FOS,-1.45,7.8e-07,5.9e-06
STAT3,0.88,0.009,0.035
NFKB1,-0.72,0.021,0.067
IL6,2.01,1.5e-09,1.9e-08
